"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y"
977.333333333333,"p",196708,NA,977.333333333333,NA,NA,NA,NA,-14778.9715194661,-22.2791184166183,-156.678226487997,12023.573018937,-625.113332822904,-4396.11866633095
977.416666666667,"p",196708,NA,977.416666666667,NA,NA,NA,NA,-14793.8846315415,-22.2791184166183,-156.678226487997,11605.1370190073,-625.113332822904,-4396.11866633095
977.5,"p",196708,NA,977.5,NA,NA,NA,NA,-14808.7977436169,-22.2791184166183,-156.678226487997,11186.7010190782,-625.113332822904,-4396.11866633095
977.583333333333,"p",196708,NA,977.583333333333,NA,NA,NA,NA,-14823.7108556923,-22.2791184166183,-156.678226487997,10768.2650191485,-625.113332822904,-4396.11866633095
977.666666666667,"p",196708,NA,977.666666666667,NA,NA,NA,NA,-14838.6239677676,-22.2791184166181,-156.678226487995,10349.8290192188,-625.113332822903,-4396.11866633095
977.75,"p",196708,NA,977.75,NA,NA,NA,NA,-14853.537079842,-22.2791183996237,-156.678226368394,9931.39301929126,-625.113332797211,-4396.11866615013
977.833333333333,"p",196708,NA,977.833333333333,NA,NA,NA,NA,-14868.4501071811,-22.2776828465476,-156.668127079662,9512.95714746655,-625.111162518173,-4396.1033979758
977.916666666667,"p",196708,2020-02-16 10:45:00,977.916666666667,"A",1103,-14876.2078201621,9105.338729222,-14876.2076546409,98.9870039546619,696.127554733417,9105.33897945811,-441.782372928413,-3106.84100644001
978,"p",196708,NA,978,NA,NA,NA,NA,-14735.9310140665,220.251690755871,1548.9232365465,8921.51991757178,-258.453583338653,-1817.57861490421
978.083333333333,"p",196708,NA,978.083333333333,NA,NA,NA,NA,-14588.4988936127,220.253126308947,1548.93333583523,8748.51855950148,-258.451413059614,-1817.56334672988
978.166666666667,"p",196708,NA,978.166666666667,NA,NA,NA,NA,-14441.0666884236,220.253126325942,1548.93333595483,8575.51732953464,-258.451413033922,-1817.56334654906
978.25,"p",196708,NA,978.25,NA,NA,NA,NA,-14293.6344832337,220.253126325942,1548.93333595483,8402.51609956955,-258.451413033922,-1817.56334654906
978.333333333333,"p",196708,NA,978.333333333333,NA,NA,NA,NA,-14146.2022780435,220.253126325942,1548.93333595483,8229.51486960422,-258.451413033922,-1817.56334654906
978.416666666667,"p",196708,NA,978.416666666667,NA,NA,NA,NA,-13998.7700728534,220.253126325942,1548.93333595483,8056.51363963889,-258.451413033922,-1817.56334654906
978.5,"p",196708,NA,978.5,NA,NA,NA,NA,-13851.3378676635,220.253126325942,1548.93333595483,7883.5124096738,-258.451413033922,-1817.56334654906
978.583333333333,"p",196708,NA,978.583333333333,NA,NA,NA,NA,-13703.9056624733,220.253126325942,1548.93333595483,7710.51117970847,-258.451413033922,-1817.56334654906
978.666666666667,"p",196708,NA,978.666666666667,NA,NA,NA,NA,-13556.4734572832,220.253126325942,1548.93333595483,7537.50994974314,-258.451413033922,-1817.56334654906
978.75,"p",196708,NA,978.75,NA,NA,NA,NA,-13409.0412520933,220.253126325942,1548.93333595483,7364.50871977805,-258.451413033922,-1817.56334654906
978.833333333333,"p",196708,NA,978.833333333333,NA,NA,NA,NA,-13261.6090469032,220.253126325942,1548.93333595483,7191.50748981273,-258.451413033922,-1817.56334654906
978.916666666667,"p",196708,NA,978.916666666667,NA,NA,NA,NA,-13114.176841713,220.253126325942,1548.93333595483,7018.5062598474,-258.451413033922,-1817.56334654906
979,"p",196708,NA,979,NA,NA,NA,NA,-12966.7446365231,220.253126325942,1548.93333595483,6845.50502988231,-258.451413033922,-1817.56334654906
979.083333333333,"p",196708,NA,979.083333333333,NA,NA,NA,NA,-12819.312431333,220.253126325939,1548.93333595481,6672.50379991698,-258.451413033935,-1817.56334654915
979.166666666667,"p",196708,NA,979.166666666667,NA,NA,NA,NA,-12671.8802261593,220.253126046161,1548.9333339861,6499.50256988787,-258.451414114317,-1817.56335415146
979.25,"p",196708,NA,979.25,NA,NA,NA,NA,-12524.4494158004,220.229492575464,1548.76709431054,6326.49595367342,-258.542676617925,-1818.20530171749
979.3,"o",196708,2020-02-16 12:08:00,979.3,"B",1104,-12437.2489900816,6217.83388451007,-12437.2489900818,198.895071196516,1398.73250052072,6217.83388450953,-340.927220682474,-2397.57567149365
979.333333333333,"p",196708,NA,979.333333333333,NA,NA,NA,NA,-12388.4665598465,177.765510447436,1250.13879329867,6109.28216232176,-422.520677781623,-2971.38193369037
979.416666666667,"p",196708,NA,979.416666666667,NA,NA,NA,NA,-12269.614398247,177.53058497932,1248.48642831927,5825.9247468864,-423.294040944582,-2976.82137063931
979.466666666667,"o",196708,2020-02-16 12:18:00,979.466666666667,"B",1105,-12198.6536725199,5661.6800651033,-12198.6536725199,171.722732185467,1207.64262855318,5661.68006510394,-324.919459005459,-2285.00085310559
979.5,"p",196708,NA,979.5,NA,NA,NA,NA,-12153.8921872323,165.97065113351,1167.19109915791,5595.30262351592,-227.489494479477,-1599.82429901999
979.583333333333,"p",196708,NA,979.583333333333,NA,NA,NA,NA,-12042.8333463238,165.908449032597,1166.75359714736,5443.66964531305,-226.435902148167,-1592.41379750175
979.666666666667,"p",196708,NA,979.666666666667,NA,NA,NA,NA,-11931.7781762584,165.908448296237,1166.75359196621,5292.09884462527,-226.435889675553,-1592.4137097424
979.75,"p",196708,NA,979.75,NA,NA,NA,NA,-11820.7230062367,165.908448296228,1166.75359196615,5140.528044674,-226.435889675405,-1592.41370974136
979.833333333333,"p",196708,NA,979.833333333333,NA,NA,NA,NA,-11709.6678362148,165.908448296228,1166.75359196615,4988.95724472254,-226.435889675405,-1592.41370974136
979.916666666667,"p",196708,NA,979.916666666667,NA,NA,NA,NA,-11598.6126661929,165.908448296228,1166.75359196615,4837.38644477107,-226.435889675405,-1592.41370974136
980,"p",196708,NA,980,NA,NA,NA,NA,-11487.5574961711,165.908448296228,1166.75359196615,4685.81564481981,-226.435889675405,-1592.41370974136
980.083333333333,"p",196708,NA,980.083333333333,NA,NA,NA,NA,-11376.5023261492,165.908448296228,1166.75359196615,4534.24484486835,-226.435889675405,-1592.41370974136
980.166666666667,"p",196708,NA,980.166666666667,NA,NA,NA,NA,-11265.4471561273,165.908448296228,1166.75359196615,4382.67404491688,-226.435889675405,-1592.41370974136
980.25,"p",196708,NA,980.25,NA,NA,NA,NA,-11154.3919861055,165.908448296228,1166.75359196615,4231.10324496562,-226.435889675405,-1592.41370974136
980.333333333333,"p",196708,NA,980.333333333333,NA,NA,NA,NA,-11043.3368160836,165.908448296228,1166.75359196615,4079.53244501416,-226.435889675405,-1592.41370974136
980.416666666667,"p",196708,NA,980.416666666667,NA,NA,NA,NA,-10932.2816460617,165.908448296228,1166.75359196615,3927.96164506269,-226.435889675405,-1592.41370974136
980.5,"p",196708,NA,980.5,NA,NA,NA,NA,-10821.2264760399,165.908448296228,1166.75359196615,3776.39084511143,-226.435889675405,-1592.41370974136
980.583333333333,"p",196708,NA,980.583333333333,NA,NA,NA,NA,-10710.171306018,165.908448296228,1166.75359196615,3624.82004515997,-226.435889675405,-1592.41370974136
980.666666666667,"p",196708,NA,980.666666666667,NA,NA,NA,NA,-10599.1161359961,165.908448296228,1166.75359196615,3473.2492452085,-226.435889675405,-1592.41370974136
980.75,"p",196708,NA,980.75,NA,NA,NA,NA,-10488.0609659743,165.908448296228,1166.75359196615,3321.67844525724,-226.435889675405,-1592.41370974136
980.833333333333,"p",196708,NA,980.833333333333,NA,NA,NA,NA,-10377.0057959524,165.908448296228,1166.75359196615,3170.10764530578,-226.435889675405,-1592.41370974136
980.916666666667,"p",196708,NA,980.916666666667,NA,NA,NA,NA,-10265.9506259305,165.908448296228,1166.75359196615,3018.53684535431,-226.435889675405,-1592.41370974136
981,"p",196708,NA,981,NA,NA,NA,NA,-10154.8954559087,165.908448296228,1166.75359196615,2866.96604540305,-226.435889675405,-1592.41370974136
981.083333333333,"p",196708,NA,981.083333333333,NA,NA,NA,NA,-10043.8402858868,165.908448296228,1166.75359196615,2715.39524545159,-226.435889675405,-1592.41370974136
981.166666666667,"p",196708,NA,981.166666666667,NA,NA,NA,NA,-9932.78511586488,165.908448296228,1166.75359196615,2563.82444550012,-226.435889675405,-1592.41370974136
981.25,"p",196708,NA,981.25,NA,NA,NA,NA,-9821.72994584312,165.908448296228,1166.75359196615,2412.25364554886,-226.435889675405,-1592.41370974136
981.333333333333,"p",196708,NA,981.333333333333,NA,NA,NA,NA,-9710.67477582121,165.908448296228,1166.75359196615,2260.6828455974,-226.435889675405,-1592.41370974136
