"TimeNum","locType","Ptt","Time","Time_since","Argos_loc_class","Uplink","optional","LON","LAT","mu.x","theta.x","gamma.x","mu.y","theta.y","gamma.y","Time_absolute"
64.9666666666667,"o",196710,2020-01-09 09:48:00,64.9666666666667,"B",50,TRUE,-20346.6239965236,24339.9446599855,-20350.416657763,-54.8824589703139,-1716.89205483491,24326.6428800123,58.6267154785698,1834.02391027465,2020-01-09 09:48:00
64.9833333333333,"o",196710,2020-01-09 09:49:00,64.9833333333333,"B",51,TRUE,-20406.1164908214,24339.6438152041,-20382.373455809,-31.0380491587383,-970.965605368322,24349.6429883948,54.6794856940451,1710.54242670403,2020-01-09 09:49:00
65.0166666666667,"p",196710,NA,65.0166666666667,NA,NA,TRUE,NA,NA,-20385.2467587679,-2.66070327791202,-83.2349789682576,24421.3398237065,66.6303586976494,2084.40247767819,2020-01-09 09:51:00
65.1,"p",196710,NA,65.1,NA,NA,TRUE,NA,NA,-20392.4047322884,-2.66070327791202,-83.2349789682576,24600.5925600712,66.6303586976494,2084.40247767819,2020-01-09 09:56:00
65.1833333333333,"p",196710,NA,65.1833333333333,NA,NA,TRUE,NA,NA,-20399.5627058089,-2.66070327791202,-83.2349789682576,24779.8452964358,66.6303586976494,2084.40247767819,2020-01-09 10:01:00
65.2666666666667,"p",196710,NA,65.2666666666667,NA,NA,TRUE,NA,NA,-20406.7206793295,-2.66070327791202,-83.2349789682576,24959.0980328005,66.6303586976494,2084.40247767819,2020-01-09 10:06:00
65.35,"p",196710,NA,65.35,NA,NA,TRUE,NA,NA,-20413.87865285,-2.66070327791202,-83.2349789682576,25138.3507691651,66.6303586976494,2084.40247767819,2020-01-09 10:11:00
65.4333333333333,"p",196710,NA,65.4333333333333,NA,NA,TRUE,NA,NA,-20421.0366263705,-2.66070327791202,-83.2349789682576,25317.6035055298,66.6303586976494,2084.40247767819,2020-01-09 10:16:00
65.5166666666667,"p",196710,NA,65.5166666666667,NA,NA,TRUE,NA,NA,-20428.194599891,-2.66070327791202,-83.2349789682576,25496.8562418944,66.6303586976494,2084.40247767819,2020-01-09 10:21:00
65.5833333333333,"o",196710,2020-01-09 10:25:00,65.5833333333333,"B",52,TRUE,-20472.3969559128,25675.8133745389,-20433.9045825487,43.3448470721711,1355.96008182683,25640.2432795971,24.1174749552003,754.468766708511,2020-01-09 10:25:00
65.6,"p",196710,NA,65.6,NA,NA,TRUE,NA,NA,-20385.8458863733,89.3503974222543,2795.15514262192,25630.3607584353,-18.3954087872488,-575.464944261172,2020-01-09 10:26:00
65.6833333333333,"p",196710,NA,65.6833333333333,NA,NA,TRUE,NA,NA,-20145.470424703,89.3503974222543,2795.15514262192,25580.8723956813,-18.3954087872488,-575.464944261172,2020-01-09 10:31:00
65.7666666666667,"p",196710,NA,65.7666666666667,NA,NA,TRUE,NA,NA,-19905.0949630326,89.3503974222543,2795.15514262192,25531.3840329273,-18.3954087872488,-575.464944261172,2020-01-09 10:36:00
65.85,"p",196710,NA,65.85,NA,NA,TRUE,NA,NA,-19664.7195013623,89.3503974222543,2795.15514262192,25481.8956701732,-18.3954087872488,-575.464944261172,2020-01-09 10:41:00
65.9333333333333,"p",196710,NA,65.9333333333333,NA,NA,TRUE,NA,NA,-19424.3440396919,89.3503974222543,2795.15514262192,25432.4073074192,-18.3954087872488,-575.464944261172,2020-01-09 10:46:00
66.0166666666667,"p",196710,NA,66.0166666666667,NA,NA,TRUE,NA,NA,-19183.9685780216,89.3503974222543,2795.15514262192,25382.9189446652,-18.3954087872488,-575.464944261172,2020-01-09 10:51:00
66.1,"p",196710,NA,66.1,NA,NA,TRUE,NA,NA,-18943.5931163513,89.3503974222543,2795.15514262192,25333.4305819111,-18.3954087872488,-575.464944261172,2020-01-09 10:56:00
66.1833333333333,"p",196710,NA,66.1833333333333,NA,NA,TRUE,NA,NA,-18703.2176546809,89.3503974222543,2795.15514262192,25283.9422191571,-18.3954087872488,-575.464944261172,2020-01-09 11:01:00
66.2666666666667,"p",196710,NA,66.2666666666667,NA,NA,TRUE,NA,NA,-18462.8421930105,89.3503974222543,2795.15514262192,25234.4538564031,-18.3954087872488,-575.464944261172,2020-01-09 11:06:00
66.35,"p",196710,NA,66.35,NA,NA,TRUE,NA,NA,-18222.4667313402,89.3503974222543,2795.15514262192,25184.965493649,-18.3954087872488,-575.464944261172,2020-01-09 11:11:00
66.4333333333333,"p",196710,NA,66.4333333333333,NA,NA,TRUE,NA,NA,-17982.0912696698,89.3503974222543,2795.15514262192,25135.477130895,-18.3954087872488,-575.464944261172,2020-01-09 11:16:00
66.5166666666667,"p",196710,NA,66.5166666666667,NA,NA,TRUE,NA,NA,-17741.7158079995,89.3503974222543,2795.15514262192,25085.988768141,-18.3954087872488,-575.464944261172,2020-01-09 11:21:00
66.6,"p",196710,NA,66.6,NA,NA,TRUE,NA,NA,-17501.3403463292,89.3503974222543,2795.15514262192,25036.5004053869,-18.3954087872488,-575.464944261172,2020-01-09 11:26:00
